run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662906782.213977|2022-09-11 16:33:02.213977+02|F/41A000|0|1|344731|54|1389|0|0|16393996|0|6484|2022-09-11 16:18:49.045202+02
1|1662906783.225766|2022-09-11 16:33:03.225766+02|F/41A910|0|1|344731|54|1389|0|0|16393996|0|71562|2022-09-11 16:18:49.045202+02
2|1662906784.236797|2022-09-11 16:33:04.236797+02|F/41A910|0|1|344731|54|1389|100|1|16393996|0|148179|2022-09-11 16:18:49.045202+02
3|1662906785.246695|2022-09-11 16:33:05.246695+02|F/41A910|0|1|344731|54|1389|125|1|16393996|0|229745|2022-09-11 16:18:49.045202+02
4|1662906786.256808|2022-09-11 16:33:06.256808+02|F/41A910|0|1|344731|54|1389|125|1|16393996|0|311078|2022-09-11 16:18:49.045202+02
5|1662906787.266987|2022-09-11 16:33:07.266987+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|392865|2022-09-11 16:18:49.045202+02
6|1662906788.276891|2022-09-11 16:33:08.276891+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|474559|2022-09-11 16:18:49.045202+02
7|1662906789.288371|2022-09-11 16:33:09.288371+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|556041|2022-09-11 16:18:49.045202+02
8|1662906790.300081|2022-09-11 16:33:10.300081+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|636838|2022-09-11 16:18:49.045202+02
9|1662906791.313001|2022-09-11 16:33:11.313001+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|717622|2022-09-11 16:18:49.045202+02
10|1662906792.322778|2022-09-11 16:33:12.322778+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|798563|2022-09-11 16:18:49.045202+02
11|1662906793.334795|2022-09-11 16:33:13.334795+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|878982|2022-09-11 16:18:49.045202+02
12|1662906794.346516|2022-09-11 16:33:14.346516+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|959326|2022-09-11 16:18:49.045202+02
13|1662906795.357836|2022-09-11 16:33:15.357836+02|F/41A910|0|1|344731|54|1389|233|2|16393996|0|1038978|2022-09-11 16:18:49.045202+02
14|1662906796.370269|2022-09-11 16:33:16.370269+02|F/41A910|0|1|344731|54|1389|234|2|16393996|0|1118529|2022-09-11 16:18:49.045202+02
15|1662906797.380992|2022-09-11 16:33:17.380992+02|F/41A948|0|1|344731|54|1389|234|2|16393996|0|1197814|2022-09-11 16:18:49.045202+02
16|1662906798.394984|2022-09-11 16:33:18.394984+02|F/41A948|0|1|344731|54|1389|234|2|16393996|0|1277089|2022-09-11 16:18:49.045202+02
17|1662906799.404844|2022-09-11 16:33:19.404844+02|F/41A948|0|1|344731|54|1389|234|2|16393996|0|1356418|2022-09-11 16:18:49.045202+02
18|1662906800.415479|2022-09-11 16:33:20.415479+02|F/41A948|0|1|344731|54|1389|234|2|16393996|0|1451192|2022-09-11 16:18:49.045202+02
