run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1662925520.192257|2022-09-11 21:45:20.192257+02|F/41A000|0|1|352318|182|1389|0|0|16393996|0|6484|2022-09-11 21:24:45.463593+02
1|1662925521.201343|2022-09-11 21:45:21.201343+02|F/41B2C0|0|1|352318|182|1389|0|0|16393996|0|60954|2022-09-11 21:24:45.463593+02
2|1662925522.216130|2022-09-11 21:45:22.21613+02|F/41B2F8|0|1|352318|182|1389|0|0|16393996|0|125745|2022-09-11 21:24:45.463593+02
3|1662925523.225682|2022-09-11 21:45:23.225682+02|F/41B2F8|0|1|352318|182|1389|0|0|16393996|0|194155|2022-09-11 21:24:45.463593+02
4|1662925524.237670|2022-09-11 21:45:24.23767+02|F/41B2F8|0|1|352318|182|1389|30|0|16393996|0|261791|2022-09-11 21:24:45.463593+02
5|1662925525.250357|2022-09-11 21:45:25.250357+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|329536|2022-09-11 21:24:45.463593+02
6|1662925526.260354|2022-09-11 21:45:26.260354+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|400156|2022-09-11 21:24:45.463593+02
7|1662925527.269731|2022-09-11 21:45:27.269731+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|468731|2022-09-11 21:24:45.463593+02
8|1662925528.280062|2022-09-11 21:45:28.280062+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|539255|2022-09-11 21:24:45.463593+02
9|1662925529.292674|2022-09-11 21:45:29.292674+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|608191|2022-09-11 21:24:45.463593+02
10|1662925530.310908|2022-09-11 21:45:30.310908+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|679934|2022-09-11 21:24:45.463593+02
11|1662925531.322083|2022-09-11 21:45:31.322083+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|750933|2022-09-11 21:24:45.463593+02
12|1662925532.332822|2022-09-11 21:45:32.332822+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|823298|2022-09-11 21:24:45.463593+02
13|1662925533.342328|2022-09-11 21:45:33.342328+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|893764|2022-09-11 21:24:45.463593+02
14|1662925534.353113|2022-09-11 21:45:34.353113+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|969033|2022-09-11 21:24:45.463593+02
15|1662925535.363281|2022-09-11 21:45:35.363281+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1044410|2022-09-11 21:24:45.463593+02
16|1662925536.372877|2022-09-11 21:45:36.372877+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1120288|2022-09-11 21:24:45.463593+02
17|1662925537.384372|2022-09-11 21:45:37.384372+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1210533|2022-09-11 21:24:45.463593+02
18|1662925538.397666|2022-09-11 21:45:38.397666+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1285640|2022-09-11 21:24:45.463593+02
19|1662925539.409269|2022-09-11 21:45:39.409269+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1362167|2022-09-11 21:24:45.463593+02
20|1662925540.420739|2022-09-11 21:45:40.420739+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1440614|2022-09-11 21:24:45.463593+02
21|1662925541.431278|2022-09-11 21:45:41.431278+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1519352|2022-09-11 21:24:45.463593+02
22|1662925542.441118|2022-09-11 21:45:42.441118+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1598646|2022-09-11 21:24:45.463593+02
23|1662925543.451480|2022-09-11 21:45:43.45148+02|F/41B2F8|0|1|352318|182|1389|38|0|16393996|0|1677675|2022-09-11 21:24:45.463593+02
24|1662925544.463470|2022-09-11 21:45:44.46347+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|1756244|2022-09-11 21:24:45.463593+02
25|1662925545.475678|2022-09-11 21:45:45.475678+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|1833050|2022-09-11 21:24:45.463593+02
26|1662925546.494860|2022-09-11 21:45:46.49486+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|1907312|2022-09-11 21:24:45.463593+02
27|1662925547.507653|2022-09-11 21:45:47.507653+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|1982470|2022-09-11 21:24:45.463593+02
28|1662925548.517986|2022-09-11 21:45:48.517986+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2058440|2022-09-11 21:24:45.463593+02
29|1662925549.528596|2022-09-11 21:45:49.528596+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2134355|2022-09-11 21:24:45.463593+02
30|1662925550.538392|2022-09-11 21:45:50.538392+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2210044|2022-09-11 21:24:45.463593+02
31|1662925551.553142|2022-09-11 21:45:51.553142+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2287381|2022-09-11 21:24:45.463593+02
32|1662925552.565228|2022-09-11 21:45:52.565228+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2364239|2022-09-11 21:24:45.463593+02
33|1662925553.575704|2022-09-11 21:45:53.575704+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2442092|2022-09-11 21:24:45.463593+02
34|1662925554.586784|2022-09-11 21:45:54.586784+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2520015|2022-09-11 21:24:45.463593+02
35|1662925555.596378|2022-09-11 21:45:55.596378+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2598009|2022-09-11 21:24:45.463593+02
36|1662925556.607776|2022-09-11 21:45:56.607776+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2676322|2022-09-11 21:24:45.463593+02
37|1662925557.618399|2022-09-11 21:45:57.618399+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2754760|2022-09-11 21:24:45.463593+02
38|1662925558.628140|2022-09-11 21:45:58.62814+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2833043|2022-09-11 21:24:45.463593+02
39|1662925559.638286|2022-09-11 21:45:59.638286+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2911730|2022-09-11 21:24:45.463593+02
40|1662925560.649453|2022-09-11 21:46:00.649453+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|2989712|2022-09-11 21:24:45.463593+02
41|1662925561.660241|2022-09-11 21:46:01.660241+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|3067064|2022-09-11 21:24:45.463593+02
42|1662925562.671849|2022-09-11 21:46:02.671849+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|3145540|2022-09-11 21:24:45.463593+02
43|1662925563.683555|2022-09-11 21:46:03.683555+02|F/41B2F8|0|1|352318|182|1389|39|0|16393996|0|3223730|2022-09-11 21:24:45.463593+02
