run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1662740768.237954|2022-09-09 18:26:08.237954+02|16434|test|1|217683476|0|380462006|711776333|317936820|217873681|100011094|4|0|0|2|2004107264|0|||0|0|28989809|15370355.748|139.654|1815|0|0|0|
1|1662740769.251775|2022-09-09 18:26:09.251775+02|16434|test|33|217683517|0|380462034|711778467|317939033|217874852|100011094|4|0|0|2|2004107264|0|||0|0|28989896.65|15370362.938|139.654|1851|0|0|0|
2|1662740770.272840|2022-09-09 18:26:10.27284+02|16434|test|33|217718267|0|380522380|712444913|318042775|217944917|100045680|34590|0|0|2|2004107264|0|||0|0|29053980.026|15427376.329|3910.335|1853|0|0|0|
3|1662740771.286963|2022-09-09 18:26:11.286963+02|16434|test|33|217737871|0|380557052|712823278|318103062|217985505|100065280|53554|0|0|2|2004107264|0|||0|0|29085052.088|15455251.454|5626.931|1855|0|0|0|
4|1662740772.302914|2022-09-09 18:26:12.302914+02|16434|test|33|217754895|0|380587473|713152265|318153771|218019757|100081773|71210|0|0|2|2004107264|0|||0|0|29117112.176|15482592.971|8587.47|1857|0|0|0|
5|1662740773.320094|2022-09-09 18:26:13.320094+02|16434|test|33|217771817|0|380616133|713470462|318203929|218053805|100099218|87599|0|0|2|2004107264|0|||0|0|29149148.714|15510433.197|11077.358|1859|0|0|0|
6|1662740774.335621|2022-09-09 18:26:14.335621+02|16434|test|33|217786559|0|380641210|713747851|318247584|218083493|100113956|101895|0|0|2|2004107264|0|||0|0|29182171.011|15537213.091|15172.757|1861|0|0|0|
7|1662740775.350671|2022-09-09 18:26:15.350671+02|16434|test|33|217801394|0|380667394|714034960|318291353|218113367|100128787|117697|0|0|2|2004107264|0|||0|0|29214241.191|15564300.538|18232.05|1863|0|0|0|
8|1662740776.367817|2022-09-09 18:26:16.367817+02|16434|test|34|217818832|0|380697708|714363874|318342632|218148447|100146221|135131|0|0|2|2004107264|0|||0|0|29246303.21|15592269.085|20661.351|1865|0|0|0|
9|1662740777.383927|2022-09-09 18:26:17.383927+02|16434|test|33|217827397|0|380712783|714528966|318369506|218166562|100154783|143687|0|0|2|2004107264|0|||0|0|29278378.511|15622429.342|21704.238|1867|0|0|0|
10|1662740778.400476|2022-09-09 18:26:18.400476+02|16434|test|33|217840106|0|380734657|714767294|318406782|218192184|100167488|156392|0|0|2|2004107264|0|||0|0|29310421.295|15651930.686|23099.912|1869|0|0|0|
11|1662740779.421685|2022-09-09 18:26:19.421685+02|16434|test|33|217849437|0|380750238|714935475|318432395|218209880|100176815|165719|0|0|2|2004107264|0|||0|0|29342496.674|15680455.69|25182.458|1871|0|0|0|
12|1662740780.437004|2022-09-09 18:26:20.437004+02|16434|test|33|217861415|0|380770626|715158331|318467998|218234438|100188403|177306|0|0|2|2004107264|0|||0|0|29373541.959|15709248.351|26347.9|1873|0|0|0|
13|1662740781.450820|2022-09-09 18:26:21.45082+02|16434|test|33|217870450|0|380786864|715333556|318495476|218253484|100197820|186724|0|0|2|2004107264|0|||0|0|29405602.7|15738750.473|27798.246|1875|0|0|0|
14|1662740782.465107|2022-09-09 18:26:22.465107+02|16434|test|33|217879766|0|380802887|715503018|318521793|218271758|100207132|196036|0|0|2|2004107264|0|||0|0|29438707.6|15769968.543|28793.58|1877|0|0|0|
15|1662740783.479629|2022-09-09 18:26:23.479629+02|16434|test|33|217890942|0|380821922|715707158|318554098|218294174|100218304|206859|0|0|2|2004107264|0|||0|0|29470771.861|15799298.331|30361.453|1879|0|0|0|
16|1662740784.494184|2022-09-09 18:26:24.494184+02|16434|test|33|217899800|0|380837590|715875117|318580853|218312796|100227158|215785|0|0|2|2004107264|0|||0|0|29502836.029|15829526.002|31337.004|1881|0|0|0|
17|1662740785.510917|2022-09-09 18:26:25.510917+02|16434|test|33|217910764|0|380856884|716079481|318612609|218334928|100238118|227022|0|0|2|2004107264|0|||0|0|29534891.657|15859508.106|32412.2|1883|0|0|0|
18|1662740786.536825|2022-09-09 18:26:26.536825+02|16434|test|33|217919958|0|380872610|716248672|318639204|218353520|100247308|236212|0|0|2|2004107264|0|||0|0|29566967.302|15888449.29|34344.512|1885|0|0|0|
19|1662740787.550791|2022-09-09 18:26:27.550791+02|16434|test|33|217928854|0|380888139|716411615|318664875|218371516|100255913|245104|0|0|2|2004107264|0|||0|0|29598030.455|15917718.814|35286.308|1887|0|0|0|
20|1662740788.565237|2022-09-09 18:26:28.565237+02|16434|test|33|217940213|0|380907879|716620195|318697685|218394438|100267210|256459|0|0|2|2004107264|0|||0|0|29631093.475|15946783.222|37174.308|1889|0|0|0|
21|1662740789.580583|2022-09-09 18:26:29.580583+02|16434|test|33|217949404|0|380923801|716788032|318724121|218413024|100276742|265646|0|0|2|2004107264|0|||0|0|29663154.658|15976908.997|38216.903|1891|0|0|0|
22|1662740790.594008|2022-09-09 18:26:30.594008+02|16434|test|33|217961469|0|380943822|716997787|318756595|218435846|100288803|277332|0|0|2|2004107264|0|||0|0|29695216.497|16006599.09|39471.145|1893|0|0|0|
23|1662740791.607980|2022-09-09 18:26:31.60798+02|16434|test|33|217969748|0|380958830|717155984|318781793|218453586|100297078|285982|0|0|2|2004107264|0|||0|0|29726289.177|16034611.361|41356.966|1895|0|0|0|
24|1662740792.622564|2022-09-09 18:26:32.622564+02|16434|test|33|217979872|0|380976381|717339679|318810656|218473950|100307198|296102|0|0|2|2004107264|0|||0|0|29759333.966|16065601.952|42447.069|1897|0|0|0|
25|1662740793.635995|2022-09-09 18:26:33.635995+02|16434|test|33|217991575|0|380996764|717554448|318844900|218498182|100318897|307801|0|0|2|2004107264|0|||0|0|29791404.546|16093556.06|45156.539|1899|0|0|0|
26|1662740794.649887|2022-09-09 18:26:34.649887+02|16434|test|33|218001488|0|381013752|717730421|318872320|218517592|100328806|317710|0|0|2|2004107264|0|||0|0|29823470.764|16123573.756|46268.849|1901|0|0|0|
27|1662740795.663616|2022-09-09 18:26:35.663616+02|16434|test|33|218013230|0|381034437|717945660|318906634|218541900|100340544|329448|0|0|2|2004107264|0|||0|0|29854578.055|16151827.048|47960.691|1903|0|0|0|
28|1662740796.677469|2022-09-09 18:26:36.677469+02|16434|test|33|218022920|0|381051234|718119381|318934166|218561484|100350230|339134|0|0|2|2004107264|0|||0|0|29887637.253|16182213.768|49522.986|1905|0|0|0|
29|1662740797.692100|2022-09-09 18:26:37.6921+02|16434|test|33|218033473|0|381069403|718308294|318964069|218582794|100360779|349683|0|0|2|2004107264|0|||0|0|29919686.176|16212126.49|50658.029|1907|0|0|0|
30|1662740798.707183|2022-09-09 18:26:38.707183+02|16434|test|33|218044021|0|381087624|718493190|318992921|218603410|100370985|360227|0|0|2|2004107264|0|||0|0|29950749.462|16239150.543|53237.341|1909|0|0|0|
31|1662740799.722200|2022-09-09 18:26:39.7222+02|16434|test|33|218054394|0|381105657|718681716|319023139|218625044|100381692|370596|0|0|2|2004107264|0|||0|0|29983803.533|16269980.206|54446.422|1911|0|0|0|
32|1662740800.735509|2022-09-09 18:26:40.735509+02|16434|test|33|218067036|0|381127836|718907413|319058708|218650532|100394330|383234|0|0|2|2004107264|0|||0|0|30015854.174|16299021.347|56178.657|1913|0|0|0|
33|1662740801.750068|2022-09-09 18:26:41.750068+02|16434|test|33|218076572|0|381144241|719076504|319085646|218669808|100403555|392766|0|0|2|2004107264|0|||0|0|30046911.125|16327980.7|57342.08|1915|0|0|0|
34|1662740802.780309|2022-09-09 18:26:42.780309+02|16434|test|33|218088109|0|381164190|719280972|319118034|218693086|100415395|404299|0|0|2|2004107264|0|||0|0|30078963.972|16357502.417|58749.334|1917|0|0|0|
35|1662740803.803754|2022-09-09 18:26:43.803754+02|16434|test|33|218099138|0|381182728|719473599|319148997|218715348|100426420|414982|0|0|2|2004107264|0|||0|0|30111018.988|16385363.173|61169.043|1919|0|0|0|
36|1662740804.818008|2022-09-09 18:26:44.818008+02|16434|test|33|218109853|0|381201624|719664959|319178972|218736982|100437131|426035|0|0|2|2004107264|0|||0|0|30144081.775|16416203.413|62352.408|1921|0|0|0|
37|1662740805.831599|2022-09-09 18:26:45.831599+02|16434|test|33|218123188|0|381224355|719894199|319214929|218763022|100450462|439366|0|0|2|2004107264|0|||0|0|30176142.27|16444365.036|64597.144|1923|0|0|0|
38|1662740806.844914|2022-09-09 18:26:46.844914+02|16434|test|33|218132969|0|381241654|720070710|319243426|218783622|100460239|449143|0|0|2|2004107264|0|||0|0|30207196.048|16473404.716|65689.935|1925|0|0|0|
39|1662740807.858923|2022-09-09 18:26:47.858923+02|16434|test|33|218145986|0|381264332|720298376|319279617|218809860|100473252|462156|0|0|2|2004107264|0|||0|0|30240240.342|16503700.176|67195.49|1927|0|0|0|
40|1662740808.872809|2022-09-09 18:26:48.872809+02|16434|test|33|218157502|0|381284277|720499944|319311618|218833096|100484764|473668|0|0|2|2004107264|0|||0|0|30272291.914|16532142.789|69461.191|1929|0|0|0|
41|1662740809.885202|2022-09-09 18:26:49.885202+02|16434|test|33|218168030|0|381302698|720683432|319340767|218854356|100495288|484192|0|0|2|2004107264|0|||0|0|30304348.284|16562102.306|70586.11|1931|0|0|0|
