run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1663025335.833515|2022-09-13 01:28:55.833515+02|16384|test|1|130524702|0|265793067|421179682|1130910306|130717284|1000110094|4|0|0|19|20040638464|0|||0|0|30506252.472|25997756.674|891.542|1835|0|0|0|
1|1663025336.845196|2022-09-13 01:28:56.845196+02|16384|test|33|130524743|0|265793134|421181819|1130921520|130718456|1000110094|4|0|0|19|20040638464|0|||0|0|30506336.298|25997768.162|891.542|1871|0|0|0|
2|1663025337.859625|2022-09-13 01:28:57.859625+02|16384|test|33|130568065|0|265871527|422022918|1131053027|130806838|1000153252|43162|0|0|19|20040638464|0|||0|0|30562383.282|26024726.776|4047.047|1873|0|0|0|
3|1663025338.874494|2022-09-13 01:28:58.874494+02|16384|test|33|130598668|0|265926869|422615737|1131144923|130868250|1000183851|73761|0|0|19|20040638464|0|||0|0|30602427.393|26043373.146|6251.688|1875|0|0|0|
4|1663025339.889146|2022-09-13 01:28:59.889146+02|16384|test|33|130623698|0|265972083|423100170|1131220075|130918514|1000208877|98787|0|0|19|20040638464|0|||0|0|30634463.915|26057894.916|8048.122|1877|0|0|0|
5|1663025340.903592|2022-09-13 01:29:00.903592+02|16384|test|33|130648678|0|266017202|423583674|1131295063|130968678|1000233853|123763|0|0|19|20040638464|0|||0|0|30666496.944|26072897.56|9830.562|1879|0|0|0|
6|1663025341.918574|2022-09-13 01:29:01.918574+02|16384|test|33|130673605|0|266062077|424066071|1131369821|131018736|1000258776|148686|0|0|19|20040638464|0|||0|0|30698532.759|26088365.299|11618.02|1881|0|0|0|
7|1663025342.933318|2022-09-13 01:29:02.933318+02|16384|test|33|130698508|0|266107049|424547051|1131444513|131068746|1000283675|173585|0|0|19|20040638464|0|||0|0|30730563.83|26103227.134|13396.332|1883|0|0|0|
8|1663025343.947923|2022-09-13 01:29:03.947923+02|16384|test|33|130723454|0|266152128|425029506|1131519294|131118842|1000308617|198527|0|0|19|20040638464|0|||0|0|30762597.152|26117955.956|15180.666|1885|0|0|0|
9|1663025344.962556|2022-09-13 01:29:04.962556+02|16384|test|33|130748135|0|266196733|425506144|1131593217|131168408|1000333294|223204|0|0|19|20040638464|0|||0|0|30794632.965|26133132.556|16938.89|1887|0|0|0|
10|1663025345.977202|2022-09-13 01:29:05.977202+02|16384|test|33|130773168|0|266241929|425988155|1131668155|131218678|1000358323|248233|0|0|19|20040638464|0|||0|0|30826665.089|26148116.78|18736.379|1889|0|0|0|
11|1663025346.991682|2022-09-13 01:29:06.991682+02|16384|test|33|130797873|0|266286665|426465077|1131742137|131268292|1000383024|272934|0|0|19|20040638464|0|||0|0|30858703.075|26163161.514|20498.279|1891|0|0|0|
12|1663025348.005491|2022-09-13 01:29:08.005491+02|16384|test|33|130822827|0|266331700|426945901|1131816789|131318404|1000407974|297884|0|0|19|20040638464|0|||0|0|30890741.28|26178100.83|22262.085|1893|0|0|0|
13|1663025349.019838|2022-09-13 01:29:09.019838+02|16384|test|33|130847718|0|266376578|427424681|1131891197|131368390|1000432861|322771|0|0|19|20040638464|0|||0|0|30922775.607|26192705.375|24036.895|1895|0|0|0|
14|1663025350.033916|2022-09-13 01:29:10.033916+02|16384|test|33|130872349|0|266421221|427899011|1131964824|131417856|1000457488|347398|0|0|19|20040638464|0|||0|0|30954808.139|26207598.945|25796.117|1897|0|0|0|
15|1663025351.049239|2022-09-13 01:29:11.049239+02|16384|test|33|130897113|0|266465970|428375319|1132038777|131467588|1000482248|372158|0|0|19|20040638464|0|||0|0|30986837.945|26222081.819|27558.092|1899|0|0|0|
16|1663025352.063499|2022-09-13 01:29:12.063499+02|16384|test|33|130922073|0|266511026|428854786|1132113312|131517712|1000507204|397114|0|0|19|20040638464|0|||0|0|31018869.088|26236302.584|29346.154|1901|0|0|0|
